State,MedianAge,MedianAgeMale,MedianAgeFemale
Maine,45,43,46
West Virginia,43,41,44
Vermont,43,41,44
New Hampshire,43,42,44
Florida,42,41,44
Pennsylvania,41,39,42
Delaware,41,39,42
Connecticut,41,39,43
Wisconsin,40,38,41
Rhode Island,40,38,42
New Jersey,40,38,41
Montana,40,39,41
Michigan,40,38,41
Massachusetts,40,38,41
Tennessee,39,37,40
South Carolina,39,38,41
Oregon,39,38,40
Ohio,39,38,41
North Carolina,39,37,40
New York,39,37,40
Missouri,39,37,40
Maryland,39,37,40
Kentucky,39,38,40
Hawaii,39,38,41
Alabama,39,38,41
Wyoming,38,37,39
Washington,38,37,39
Virginia,38,37,40
New Mexico,38,36,39
Nevada,38,37,39
Mississippi,38,36,39
Minnesota,38,37,39
Iowa,38,37,39
Indiana,38,36,39
Illinois,38,37,39
Arkansas,38,37,40
Arizona,38,36,39
South Dakota,37,36,38
Oklahoma,37,35,38
Nebraska,37,36,38
Louisiana,37,36,38
Kansas,37,35,38
Georgia,37,35,38
Colorado,37,36,38
California,37,35,38
Idaho,36,36,37
Texas,35,34,36
North Dakota,35,34,36
Alaska,34,34,35
Utah,31,30,32
